recommended_club,recommended_position,footballer_name_footballer,age,rating,potential,market_value,club,score,priority_score
Stal Mielec,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,10.33
Stal Mielec,CM,Nsana Simon,24,48,59.0,200000.0,Sakaryaspor,85.262,10.33
Stal Mielec,CM,Abdoulaye Dabo,23,48,58.0,400000.0,Adanaspor,84.86250000000001,10.33
Stal Mielec,CM,Janne-Pekka Laine,23,48,60.54,250000.0,Esenler Erokspor,84.3785,10.33
Stal Mielec,CM,Enes Keskin,23,48,63.0,250000.0,Pendikspor,83.86250000000001,10.33
Stal Mielec,CM,Buluthan Bulut,22,45,59.795,50000.0,Alanyaspor,82.43104347826088,10.33
Stal Mielec,LB,Batuhan Adıgüzel,23,48,60.0,600000.0,Bandırmaspor,86.4125,7.33
Stal Mielec,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,7.33
Stal Mielec,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,7.33
Stal Mielec,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,7.33
Stal Mielec,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,7.33
Stal Mielec,LB,Godfrey Stephen,24,50,58.0,400000.0,Gaziantep FK,81.712,7.33
Stal Mielec,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,7.33
Stal Mielec,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,7.33
Stal Mielec,LB,Umut Erdem,20,43,56.63,150000.0,Manisa FK,79.81628571428571,7.33
Stal Mielec,LB,Emre Kaplan,23,45,55.0,500000.0,Basaksehir FK,79.7625,7.33
Stal Mielec,RB,Eray Korkmaz,21,50,62.51,300000.0,Caykur Rizespor,87.26763636363637,7.33
Stal Mielec,RB,Kerem Kalafat,23,50,60.0,600000.0,Çorum FK,87.0125,7.33
Stal Mielec,RB,Berkan Keskin,22,50,60.74,225000.0,Iğdır FK,85.80904347826088,7.33
Stal Mielec,RB,İsmail Çokçalış,24,50,58.0,325000.0,Ankaragücü,85.462,7.33
Stal Mielec,RB,Ioan-Calin Revenco,24,48,54.0,400000.0,Puszcza Niepolomice,84.762,7.33
Stal Mielec,RB,Zié Ouattara,24,51,57.0,600000.0,Radomiak Radom,84.612,7.33
Stal Mielec,RB,Mustafa Tan,19,43,55.445,400000.0,Samsunspor,80.093,7.33
Stal Mielec,RB,Norbert Wojtuszek,23,47,59.0,350000.0,Górnik Zabrze,79.7125,7.33
Stal Mielec,RB,Ian Hoffmann,23,47,58.0,300000.0,Lech Poznan,79.3125,7.33
Stal Mielec,RB,Erdem Gökçe,21,43,56.77,75000.0,Eyüpspor,79.12163636363637,7.33
Trabzonspor,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,3.88
Trabzonspor,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,3.88
Trabzonspor,CM,Kerem Atakan Kesgin,24,55,63.86,900000.0,Bandırmaspor,90.806,3.88
Trabzonspor,CM,Mithat Pala,24,58,65.0,900000.0,Caykur Rizespor,89.912,3.88
Trabzonspor,CM,Eyüp Aydın,20,53,66.33,1100000.0,Galatasaray,89.69628571428571,3.88
Trabzonspor,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,3.88
Trabzonspor,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,3.88
Trabzonspor,CM,Ali Kaan Güneren,24,53,65.0,1400000.0,Ankaragücü,89.162,3.88
Trabzonspor,CM,Cher Ndour,20,55,66.73,4000000.0,Besiktas JK,88.95628571428571,3.88
Trabzonspor,CM,Flavio Paoletti,21,53,66.24,900000.0,Fatih Karagümrük,88.15963636363637,3.88
Widzew Lodz,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,10.33
Widzew Lodz,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,10.33
Widzew Lodz,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,10.33
Widzew Lodz,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,10.33
Widzew Lodz,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,10.33
Widzew Lodz,CM,Nsana Simon,24,48,59.0,200000.0,Sakaryaspor,85.262,10.33
Widzew Lodz,CM,Abdoulaye Dabo,23,48,58.0,400000.0,Adanaspor,84.86250000000001,10.33
Widzew Lodz,CM,Janne-Pekka Laine,23,48,60.54,250000.0,Esenler Erokspor,84.3785,10.33
Widzew Lodz,CM,Enes Keskin,23,48,63.0,250000.0,Pendikspor,83.86250000000001,10.33
Widzew Lodz,CM,Buluthan Bulut,22,45,59.795,50000.0,Alanyaspor,82.43104347826088,10.33
Widzew Lodz,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,2.33
Widzew Lodz,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,2.33
Widzew Lodz,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,2.33
Widzew Lodz,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,2.33
Widzew Lodz,LB,Godfrey Stephen,24,50,58.0,400000.0,Gaziantep FK,81.712,2.33
Widzew Lodz,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,2.33
Widzew Lodz,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,2.33
Widzew Lodz,LB,Umut Erdem,20,43,56.63,150000.0,Manisa FK,79.81628571428571,2.33
Widzew Lodz,LB,Emre Kaplan,23,45,55.0,500000.0,Basaksehir FK,79.7625,2.33
Widzew Lodz,LB,Faruk Can Genç,24,45,60.0,150000.0,Bandırmaspor,78.762,2.33
Yeni Malatyaspor,CB,Oğuzcan Çalışkan,22,40,54.165,25000.0,Ankara Keçiörengücü,79.42904347826087,3.72
Yeni Malatyaspor,CB,Elano Yegen,22,40,55.0,50000.0,Samsunspor,76.76304347826087,3.72
Yeni Malatyaspor,CB,Murat Sipahioğlu,22,38,52.04,50000.0,Bodrum FK,76.47904347826088,3.72
Yeni Malatyaspor,CB,Oskar Wojcik,21,40,53.74,25000.0,Cracovia,74.75963636363636,3.72
Yeni Malatyaspor,CB,Birkan Yılmaz,21,38,52.905,25000.0,Manisa FK,73.07563636363636,3.72
Yeni Malatyaspor,CB,Pawel Kwiatkowski,17,38,50.41,25000.0,Widzew Lodz,72.08066666666667,3.72
Yeni Malatyaspor,CB,Abdullah Şahindere,21,35,40.645,25000.0,Gençlerbirliği SK,67.27163636363636,3.72
Yeni Malatyaspor,CB,Harun Toprak,19,35,40.595,50000.0,Antalyaspor,67.253,3.72
Yeni Malatyaspor,CB,Ömer Ersoy,21,28,40.0,50000.0,Fatih Karagümrük,66.41363636363636,3.72
Yeni Malatyaspor,CB,Berat Can Şanlı,20,15,46.0,25000.0,Sakaryaspor,64.91428571428571,3.72
Yeni Malatyaspor,AM,Emre Kaya,19,38,53.06,25000.0,Ümraniyespor,79.13900000000001,2.1
Yeni Malatyaspor,AM,Ali Yiğit Özten,19,35,41.135,25000.0,Iğdır FK,70.469,2.1
Yeni Malatyaspor,AM,Alan Brod,20,40,53.645,50000.0,GKS Katowice,67.97228571428572,2.1
Yeni Malatyaspor,AM,Florent Shehu,22,38,50.94,50000.0,Adana Demirspor,67.03904347826087,2.1
Yeni Malatyaspor,AM,Barış Kalaycı,19,39,50.855,25000.0,Fatih Karagümrük,65.807,2.1
Yeni Malatyaspor,AM,Milosz Strzebonski,21,34,38.43,50000.0,Korona Kielce,65.33563636363637,2.1
Yeni Malatyaspor,AM,Emin Sarıgül,19,33,40.075,50000.0,Alanyaspor,60.445,2.1
Yeni Malatyaspor,AM,Doğukan Saral,21,28,30.0,25000.0,Ümraniyespor,60.163636363636364,2.1
Yeni Malatyaspor,AM,Harun Yerlikaya,18,30,39.48,25000.0,Boluspor,59.30778947368421,2.1
Yeni Malatyaspor,AM,Uğurcan Mengi,20,30,40.0,25000.0,Erzurumspor FK,57.26428571428571,2.1
Zaglebie Lubin,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,10.33
Zaglebie Lubin,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,10.33
Zaglebie Lubin,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,10.33
Zaglebie Lubin,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,10.33
Zaglebie Lubin,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,10.33
Zaglebie Lubin,CM,Nsana Simon,24,48,59.0,200000.0,Sakaryaspor,85.262,10.33
Zaglebie Lubin,CM,Abdoulaye Dabo,23,48,58.0,400000.0,Adanaspor,84.86250000000001,10.33
Zaglebie Lubin,CM,Janne-Pekka Laine,23,48,60.54,250000.0,Esenler Erokspor,84.3785,10.33
Zaglebie Lubin,CM,Enes Keskin,23,48,63.0,250000.0,Pendikspor,83.86250000000001,10.33
Zaglebie Lubin,CM,Buluthan Bulut,22,45,59.795,50000.0,Alanyaspor,82.43104347826088,10.33
Zaglebie Lubin,LB,Batuhan Adıgüzel,23,48,60.0,600000.0,Bandırmaspor,86.4125,7.33
Zaglebie Lubin,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,7.33
Zaglebie Lubin,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,7.33
Zaglebie Lubin,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,7.33
Zaglebie Lubin,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,7.33
Zaglebie Lubin,LB,Godfrey Stephen,24,50,58.0,400000.0,Gaziantep FK,81.712,7.33
Zaglebie Lubin,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,7.33
Zaglebie Lubin,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,7.33
Zaglebie Lubin,LB,Umut Erdem,20,43,56.63,150000.0,Manisa FK,79.81628571428571,7.33
Zaglebie Lubin,LB,Emre Kaplan,23,45,55.0,500000.0,Basaksehir FK,79.7625,7.33
Zaglebie Lubin,RB,Eray Korkmaz,21,50,62.51,300000.0,Caykur Rizespor,87.26763636363637,7.33
Zaglebie Lubin,RB,Kerem Kalafat,23,50,60.0,600000.0,Çorum FK,87.0125,7.33
Zaglebie Lubin,RB,Berkan Keskin,22,50,60.74,225000.0,Iğdır FK,85.80904347826088,7.33
Zaglebie Lubin,RB,İsmail Çokçalış,24,50,58.0,325000.0,Ankaragücü,85.462,7.33
Zaglebie Lubin,RB,Ioan-Calin Revenco,24,48,54.0,400000.0,Puszcza Niepolomice,84.762,7.33
Zaglebie Lubin,RB,Zié Ouattara,24,51,57.0,600000.0,Radomiak Radom,84.612,7.33
Zaglebie Lubin,RB,Mustafa Tan,19,43,55.445,400000.0,Samsunspor,80.093,7.33
Zaglebie Lubin,RB,Norbert Wojtuszek,23,47,59.0,350000.0,Górnik Zabrze,79.7125,7.33
Zaglebie Lubin,RB,Ian Hoffmann,23,47,58.0,300000.0,Lech Poznan,79.3125,7.33
Zaglebie Lubin,RB,Erdem Gökçe,21,43,56.77,75000.0,Eyüpspor,79.12163636363637,7.33
Çorum FK,AM,Recep Taşbakır,21,50,62.305,175000.0,Ankara Keçiörengücü,87.18563636363636,7.33
Çorum FK,AM,Samuel Yépié Yépié,22,48,60.81,100000.0,Adanaspor,81.48704347826087,7.33
Çorum FK,AM,Baran Sarka,23,43,58.0,125000.0,Hatayspor,80.36250000000001,7.33
Çorum FK,AM,Mariusz Fornalczyk,21,50,61.89,250000.0,Korona Kielce,80.26963636363637,7.33
Çorum FK,AM,Radoslaw Cielemecki,21,43,57.68,100000.0,Radomiak Radom,79.48563636363636,7.33
Çorum FK,AM,Emre Kaya,19,38,53.06,25000.0,Ümraniyespor,79.13900000000001,7.33
Çorum FK,AM,Wiktor Dlugosz,24,53,58.0,200000.0,Korona Kielce,76.612,7.33
Çorum FK,AM,İzzet Çelik,20,38,54.125,75000.0,Adana Demirspor,76.56428571428572,7.33
Çorum FK,AM,Cuma Menize,24,45,50.0,150000.0,Şanlıurfaspor,74.762,7.33
Çorum FK,AM,Patryk Kusztal,21,40,54.97,150000.0,Zaglebie Lubin,73.00163636363636,7.33
Ümraniyespor,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,3.92
Ümraniyespor,CM,Nsana Simon,24,48,59.0,200000.0,Sakaryaspor,85.262,3.92
Ümraniyespor,CM,Janne-Pekka Laine,23,48,60.54,250000.0,Esenler Erokspor,84.3785,3.92
Ümraniyespor,CM,Enes Keskin,23,48,63.0,250000.0,Pendikspor,83.86250000000001,3.92
Ümraniyespor,CM,Buluthan Bulut,22,45,59.795,50000.0,Alanyaspor,82.43104347826088,3.92
Ümraniyespor,CM,Mesut Can Tunalı,23,48,60.0,175000.0,Kocaelispor,81.9125,3.92
Ümraniyespor,CM,Sefa Akgün,24,48,58.0,300000.0,Erzurumspor FK,81.112,3.92
Ümraniyespor,CM,Muhammet Ali Özbaskıcı,19,43,56.27,300000.0,Samsunspor,80.423,3.92
Ümraniyespor,CM,Ömer Gümüş,21,43,56.71,150000.0,Fatih Karagümrük,79.84763636363637,3.92
Ümraniyespor,CM,Gökdeniz Gürpüz,18,43,56.57,300000.0,Galatasaray,79.7937894736842,3.92
Ümraniyespor,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,2.2
Ümraniyespor,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,2.2
Ümraniyespor,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,2.2
Ümraniyespor,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,2.2
Ümraniyespor,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,2.2
Ümraniyespor,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,2.2
Ümraniyespor,LB,Umut Erdem,20,43,56.63,150000.0,Manisa FK,79.81628571428571,2.2
Ümraniyespor,LB,Faruk Can Genç,24,45,60.0,150000.0,Bandırmaspor,78.762,2.2
Ümraniyespor,LB,Erkan Sasa,21,43,56.615,25000.0,Amed SK,77.55963636363637,2.2
Ümraniyespor,LB,Enes Albak,19,40,53.845,125000.0,Samsunspor,77.053,2.2
İstanbulspor,RW,Juan Christian,23,52,61.0,450000.0,Alanyaspor,88.7625,2.43
İstanbulspor,RW,Burak Kapacak,24,55,65.0,275000.0,Fenerbahce,88.262,2.43
İstanbulspor,RW,Benny,24,53,60.0,500000.0,Ümraniyespor,84.912,2.43
İstanbulspor,RW,Elias Durmaz,24,48,63.0,100000.0,Gençlerbirliği SK,83.862,2.43
İstanbulspor,RW,Doğukan Emeksiz,24,48,58.0,200000.0,Adanaspor,82.612,2.43
İstanbulspor,RW,Eren Erdoğan,23,45,58.0,150000.0,Gaziantep FK,82.4625,2.43
İstanbulspor,RW,Arda Akgün,17,38,52.98,25000.0,Fatih Karagümrük,80.60866666666666,2.43
İstanbulspor,RW,Mateusz Stepien,22,47,58.0,250000.0,Puszcza Niepolomice,80.06304347826088,2.43
İstanbulspor,RW,Marcel Wedrychowski,22,44,60.0,200000.0,Pogon Szczecin,79.96304347826087,2.43
İstanbulspor,RW,Jakub Sypek,23,45,59.0,350000.0,Widzew Lodz,79.11250000000001,2.43
Şanlıurfaspor,DM,Mert Çölgeçen,23,50,63.0,175000.0,Iğdır FK,89.7125,2.5
Şanlıurfaspor,DM,Orhan Nahırcı,24,48,60.0,150000.0,Ankara Keçiörengücü,88.662,2.5
Şanlıurfaspor,DM,Gabriel Obekpa,20,48,50.0,100000.0,Bodrum FK,86.91428571428571,2.5
Şanlıurfaspor,DM,Kacper Smolinski,23,52,63.0,200000.0,Pogon Szczecin,84.3125,2.5
Şanlıurfaspor,DM,Adem Eren Kabak,23,45,60.0,225000.0,Konyaspor,84.0125,2.5
Şanlıurfaspor,DM,Oğuzhan Ayaydın,23,43,53.0,225000.0,Ankara Keçiörengücü,80.61250000000001,2.5
Şanlıurfaspor,DM,Özkan Yiğiter,24,43,58.0,200000.0,Sivasspor,79.612,2.5
Şanlıurfaspor,DM,Mesut Kesik,21,45,64.0,150000.0,Ankaragücü,78.11363636363637,2.5
Şanlıurfaspor,DM,Devran Şenyurt,20,36,39.925,75000.0,Adanaspor,77.78428571428572,2.5
Şanlıurfaspor,DM,Salih Malkoçoğlu,19,38,52.08,100000.0,Trabzonspor,76.497,2.5
Şanlıurfaspor,CB,Kadir Seven,21,48,65.0,225000.0,Çorum FK,88.41363636363636,2.27
Şanlıurfaspor,CB,Loup-Diwan Gueho,20,47,57.38,150000.0,Lechia Gdansk,82.06628571428571,2.27
Şanlıurfaspor,CB,Tolga Kalender,23,43,58.0,125000.0,Adana Demirspor,81.86250000000001,2.27
Şanlıurfaspor,CB,Yağız Dilek,19,38,51.405,75000.0,Bandırmaspor,81.477,2.27
Şanlıurfaspor,CB,Alperen Selvi,23,43,53.0,100000.0,Iğdır FK,80.61250000000001,2.27
Şanlıurfaspor,CB,Fatih Tultak,23,40,53.2,100000.0,İstanbulspor,80.5425,2.27
Şanlıurfaspor,CB,Mehmet Albayrak,20,43,55.87,75000.0,Sivasspor,80.26228571428571,2.27
Şanlıurfaspor,CB,Mustafa Eser,23,45,55.44,225000.0,Ümraniyespor,79.9385,2.27
Şanlıurfaspor,CB,Haşim Sarman,21,43,60.0,125000.0,Kocaelispor,79.66363636363636,2.27
Şanlıurfaspor,CB,Oğuzcan Çalışkan,22,40,54.165,25000.0,Ankara Keçiörengücü,79.42904347826087,2.27
