footballer_id,footballer_name,club
1110,Djak Traore,İstanbulspor
1111,Eren San,İstanbulspor
1114,Ogul Kaan Dogan,Amed SK
1117,Nicolas Nkoulou,Amed SK
1156,Ryan Mendes da Graca,Kocaelispor
1167,Yasin Dilek,Bandırmaspor
1169,Emre Adiguzel,Bandırmaspor
1170,Faruk Genç,Bandırmaspor
1174,Coşqun Diniyev,Bandırmaspor
1177,Atakan Kesgin,Bandırmaspor
1180,Emirhan Ayhan,Bandırmaspor
1189,Haktan Bülent Nalyapan,Boluspor
1190,Naby Youssouf Oularé,Boluspor
1214,Vüsal İsgəndərli,Boluspor
1229,Andrej Đokanović,Ümraniyespor
1239,Mehmet Büyüksayar,Ümraniyespor
1248,Rıdvan Yağcı,Erzurumspor FK
1270,İslam Mengi,Erzurumspor FK
1290,Berat Sebat,Gençlerbirliği SK
1295,Michał Nalepa,Gençlerbirliği SK
1301,Mete Kaan Demir,Gençlerbirliği SK
1319,Uğur Yıldız,Ankara Keçiörengücü
1330,Mady Dembélé,Ankara Keçiörengücü
1336,Ege Sahillioğlu,Esenler Erokspor
1337,Francis Beny Nzaba,Esenler Erokspor
1341,Mucahit Albayrak,Esenler Erokspor
1351,Kévin N'Zuzi Mata,Esenler Erokspor
1353,Mor Faye,Esenler Erokspor
1356,İdris Furat,Esenler Erokspor
1357,Junior Fernandes,Esenler Erokspor
1362,Onur Sarman,Iğdır FK
1368,Yusuf Esendemir,Iğdır FK
1384,Selim Sönmez,Iğdır FK
1391,Eren Güler,Çorum FK
1416,Hasan Ege Akdoğan,Çorum FK
1425,Nuno Sequeira,Pendikspor
1457,Mehmet Çelik,Manisa FK
1461,Kerem Arık,Manisa FK
1467,Efe Altunkara,Manisa FK
1469,Osman Kahraman,Manisa FK
1470,Kwasi Okyere Wriedt,Manisa FK
1474,Muhammed Çelik,Adanaspor
1484,Mehmet Feyzi Yıldırım,Adanaspor
1492,Samuel Yépie-Yépie,Adanaspor
1502,Arda Türken,Sakaryaspor
1507,Berat Şanlı,Sakaryaspor
1508,Engin Aksoy,Sakaryaspor
1511,Ali Uğurlu,Sakaryaspor
1517,Mamadou Mendy,Sakaryaspor
1527,Abdel Rachid Zagré,Sakaryaspor
1530,Ali Kılıç,Sakaryaspor
1531,Erjan Tokotaev,Şanlıurfaspor
1536,Efe Koyuncu,Şanlıurfaspor
1548,Muhammed Kücükk,Şanlıurfaspor
1551,Stefan Aškovski,Şanlıurfaspor
1556,Larry Kayode,Şanlıurfaspor
1558,Manuchim Ogundu,Şanlıurfaspor
1560,Çınar Yıldızlı,Yeni Malatyaspor
1561,Enes Salik,Yeni Malatyaspor
1564,Eray Şişman,Yeni Malatyaspor
1565,Muhammed Ulusoy,Yeni Malatyaspor
1568,Kürşat Selamoğlu,Yeni Malatyaspor
1572,Ömer Çağrı Ataş,Yeni Malatyaspor
1575,Enes Nas,Yeni Malatyaspor
1576,Fatih Aydın,Yeni Malatyaspor
1581,Mehmet Emin Taştan,Yeni Malatyaspor
1584,Halil Atcı,Yeni Malatyaspor
1585,Osman Katipoğlu,Yeni Malatyaspor
