player_id,footballer_id,footballer_name,Total played,Started,Minutes per game,Total minutes played,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Goals prevented,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Penalty goals,Penalty conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Expected Assists (xA),Touches per game,Big chances created,Key passes per game,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won (final third),Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Errors leading to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Average Sofascore Rating
1,1,Fernando Muslera,26,26,90,2340,2,1,01-Jul,2.6 (71%),0.8 (96%),27,26,1,67,6.88,42,24,4,9,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.07,42.6,0,0,24.8 (76%),20.7 (92%),4.1 (41%),6.4 (46%),2.2 (64%),0.0 (0%),8,0,0,0,9.4,0,1,1,1,0,0.0 (50%),0.6 (84%),0.2 (71%),0.4 (92%),7.8,0,0.3,0,5.8,6,0,0,7.08
2,2,Günay Güvenç,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Batuhan Şen,4,4,90,360,0,2.5,01-Feb,2.8 (52%),0.5 (100%),10,10,0,11,-0.29,7,4,0,1,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,32,0,0.3,13.0 (51%),12.0 (86%),1.0 (9%),2.0 (14%),1.0 (16%),0.0 (0%),0,0,0,0,5.3,0,0.5,0,0,0,0.0 (0%),0.3 (50%),0.3 (100%),0.0 (0%),12.3,0,0.3,0,9.5,0,0,0,6.48
4,4,Atakan Ordu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Davinson Sánchez,7,6,87,607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,607min,0.1,0.6,0.4,1,25%,0,0%,0,0%,01-Apr,0,1,0,0,0,0,0,56.9,0,0.4,38.1 (83%),23.0 (91%),15.1 (73%),3.4 (44%),2.1 (44%),0.0 (0%),2,0.3,2.1,0,2.9,1.1,3.7,1,0,0,0.0 (0%),4.7 (57%),2.3 (47%),2.4 (71%),8.9,1.3,0.1,0,0,2,0,0,7.15
6,6,Victor Nelsson,4,4,84,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,46,0,0,30.5 (85%),23.3 (92%),7.3 (67%),1.3 (33%),1.3 (45%),0.0 (0%),1,1,1.8,0,2.3,0.5,3.5,0,0,0,0.0 (0%),5.8 (59%),3.0 (57%),2.8 (61%),6,2.5,1.5,0.3,0,1,0,0,6.66
7,7,Abdülkerim Bardakcı,5,5,90,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.8,0.2,0,0%,0,0%,0,0%,0/3,0/1,0,0,0,0,0,0,76.6,0,0.6,54.2 (83%),33.0 (89%),21.4 (73%),3.4 (40%),3.2 (46%),0.2 (33%),3,1.8,1,0.2,4.2,0,2.4,1,0,0,0.2 (100%),5.2 (70%),1.6 (80%),3.6 (67%),13,0.6,0.4,0.2,0,2,0,0,7.04
8,8,Metehan Baltacı,8,4,32,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0.3,1,0%,0,0%,0,0%,0/2,0,0,0,0,0,1,0.05,20,1,0.1,14.5 (93%),10.4 (99%),4.3 (81%),0.6 (63%),0.3 (50%),0.1 (100%),0,0.5,0.4,0,0.5,0.6,1.4,0,0,0,0.0 (0%),1.1 (43%),0.4 (25%),0.8 (67%),1.3,0.6,0,0,0,0,0,1,6.66
9,9,Ali Yeşilyurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Ismail Jakobs,12,11,70,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0,0,0%,0,0%,0,0%,0/2,0/2,0,0,0,0,1,0.44,47.3,1,0.3,21.4 (77%),10.8 (86%),10.9 (63%),1.6 (50%),1.0 (55%),0.3 (13%),1,0.8,1.2,0,2.9,0.2,2.8,0,0,1,0.0 (0%),2.8 (57%),1.7 (56%),1.2 (58%),12.3,0.7,0.5,0,0,1,0,0,6.98
11,11,Elias Jelert,18,4,27,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.2,0.1,1,0%,0,0%,0,0%,0/2,0/1,0,0,0,0,0,0.25,16.4,0,0.1,8.3 (81%),4.7 (87%),3.7 (72%),0.3 (32%),0.1 (22%),0.1 (33%),0,0.2,0.7,0,1.1,0.1,0.7,0,0,1,0.0 (0%),1.5 (55%),1.2 (71%),0.3 (28%),3.1,0.2,0.6,0,0,1,0,0,6.64
12,12,Kaan Ayhan,5,2,41,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.8,0,0,0%,0,0%,0,0%,0/2,0/2,0,0,0,0,0,0,28,0,0,20.8 (88%),10.4 (91%),10.4 (84%),0.8 (44%),0.4 (25%),0.0 (0%),1,0.2,0.2,0,0.6,0,0,0,0,0,0.0 (0%),0.8 (57%),0.4 (50%),0.4 (67%),3.4,0.4,0.2,0,0,2,0,0,6.83
13,13,Lucas Torreira,25,25,86,2160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,4,0%,0,0%,0,0%,0/8,0/6,0,0,0,0,4,2.17,59,4,0.9,41.1 (88%),19.1 (93%),22.1 (83%),2.1 (51%),2.5 (71%),0.1 (25%),0,0.9,2.4,0.5,5.7,1.5,2,1,0,0,0.2 (50%),4.5 (52%),4.0 (55%),0.5 (36%),7.5,1.5,1.3,0,0,4,0,0,7.11
14,14,Efe Akman,3,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0.3,0,0%,0,0%,0,0%,0/1,0,0,0,0,0,0,0.01,10.7,0,0.3,7.7 (92%),3.7 (92%),4.0 (92%),0.3 (100%),0.0 (0%),0.0 (0%),0,0.7,0.3,0.3,1.3,0.3,0,0,0,0,0.0 (0%),0.3 (25%),0.3 (25%),0.0 (0%),1.3,0.3,0,0,0,0,0,0,6.67
15,15,Gabriel Sara,23,21,79,1822,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,911min,0.1,2,0.4,4,4%,0,0%,0/5,0%,Feb-14,0/31,0,2,0,0,5,5.01,61.9,10,2,37.5 (83%),16.0 (90%),23.0 (71%),2.1 (62%),2.2 (52%),1.5 (30%),0,0.7,1,0.2,4.4,0.9,0.9,1,0,0,0.7 (49%),3.7 (47%),2.7 (45%),1.0 (53%),14.4,0.6,1.1,0,0,2,0,0,7.31
16,16,Kerem Demirbay,17,4,29,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,1,0%,0,0%,0/1,0%,0/5,0/6,0,0,0,0,1,1.18,20.9,3,0.6,11.1 (79%),5.1 (88%),6.4 (70%),0.3 (26%),0.6 (46%),0.4 (38%),0,0.5,1.1,0.2,2.3,0.4,0.2,0,0,0,0.2 (57%),1.9 (49%),1.6 (50%),0.3 (45%),4.8,0.6,0.2,0.1,0,2,0,0,6.92
17,17,Berkan Kutlu,19,4,35,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0,0,0%,0,0%,0,0%,0/5,0/6,0,0,0,0,1,1.34,28.7,3,0.5,14.8 (81%),6.4 (89%),8.9 (73%),0.7 (40%),0.6 (48%),0.4 (42%),0,0.8,0.8,0.1,2.5,0.5,1.1,0,1,0,0.6 (55%),2.2 (52%),1.6 (50%),0.5 (59%),5.8,0.2,0.3,0,0,1,0,0,6.71
18,18,Eyüp Aydın,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,1,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,0,0,0,0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),1,0,0,0,0,0,0,0,0
19,19,Gökdeniz Gürpüz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,Yunus Akgün,4,3,60,239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,2.5,0.5,3,0%,0,0%,0,0%,0/6,0/4,0,0,0,1,0,0,37.5,1,2.5,19.8 (84%),3.8 (100%),16.3 (77%),0.3 (50%),0.8 (50%),0.3 (20%),0,0.3,1,0.8,5,1.3,0.3,0,0,0,1.8 (54%),4.0 (53%),3.8 (52%),0.3 (100%),8.5,0.3,1,0,0,0,0,0,7.16
21,21,Barış Alper Yılmaz,4,3,47,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,1,0.3,0,0%,0,0%,0,0%,0/3,0/1,0,0,0,0,0,0,20.3,0,0.3,10.0 (80%),3.5 (100%),6.5 (62%),0.0 (0%),0.0 (0%),0.0 (0%),0,0.3,0,0.3,1.5,0,0.3,0,0,0,0.0 (0%),2.0 (32%),1.3 (29%),0.8 (38%),6.3,2.8,1.3,0.3,0,1,1,1,7.09
22,22,Roland Sallai,6,6,77,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,460min,0.2,2.5,0.5,1,7%,0,0%,0,0%,01-Nov,0/4,0,0,1,0,0,0,31.8,4,1.2,16.0 (86%),7.2 (90%),9.3 (73%),0.7 (67%),0.3 (50%),0.5 (23%),0,0.2,1.2,0.3,2.8,0.5,0.7,0,0,0,0.2 (20%),3.7 (42%),3.0 (41%),0.7 (44%),7.3,2.2,1.7,0.5,0,0,0,0,7.04
23,23,Hakim Ziyech,5,2,48,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238min,0.2,0.6,0.4,0,33%,0,0%,01-Jan,100%,0,01-Mar,0,1,0,0,0,0,33.2,2,1.6,14.4 (73%),5.4 (90%),10.4 (59%),1.4 (54%),1.2 (46%),1.4 (37%),0,0.2,1,0.2,1.2,0.6,0,0,0,0,0.8 (44%),2.8 (41%),2.6 (39%),0.2 (100%),11.2,1.8,1,0.2,0,0,0,0,7.24
24,24,Yusuf Demir,6,0,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,1,0.3,0,0%,0,0%,0,0%,0/3,0/3,0,0,0,1,0,0.07,7.5,0,0.3,3.5 (91%),0.8 (100%),2.8 (81%),0.0 (0%),0.3 (100%),0.2 (33%),0,0,0,0.7,0.8,0.2,0,0,0,0,0.5 (100%),0.7 (40%),0.7 (40%),0.0 (0%),1.7,0.3,0.2,0,0,0,0,0,6.76
25,25,Dries Mertens,25,20,63,1584,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,396min,0.2,1.6,0.8,5,10%,0,0%,0/8,0%,Apr-24,0/15,0,0,4,2,7,5.57,38.2,17,2.3,16.5 (70%),4.7 (85%),13.2 (55%),1.2 (52%),1.6 (50%),1.4 (24%),0,0.4,1.2,0.8,2.9,0.7,0.4,0,0,0,0.2 (36%),2.4 (48%),2.3 (49%),0.1 (33%),13.8,0.8,0.9,0.1,0,2,0,0,7.53
26,26,Victor Osimhen,21,19,78,1628,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,81min,1,4.5,1.9,17,21%,0,0,0,0%,19/80,Jan-15,6,1,13,3,4,2.73,24.7,10,1.1,7.5 (68%),1.0 (69%),6.7 (66%),0.1 (38%),0.3 (58%),0.2 (36%),0,0.1,0.2,0.7,1.7,0,0.9,0,0,0,0.5 (53%),5.1 (53%),2.2 (47%),2.9 (59%),7.5,1,1.6,1.3,0,3,0,0,7.49
27,27,Mauro Icardi,7,7,75,527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,132min,0.6,1.9,0.7,0,31%,0,0,0,0%,04-Dec,0/1,1,1,2,1,1,1.21,22.9,3,1,10.0 (69%),3.0 (84%),7.0 (63%),0.7 (50%),0.6 (50%),0.0 (0%),0,0,0.1,0.1,0.6,0,0.6,0,0,0,0.0 (0%),2.4 (44%),1.1 (53%),1.3 (38%),7.7,0.3,1,0.4,0,0,0,0,7.4
28,28,Michy Batshuayi,5,2,32,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81min,0.4,0.6,0.4,0,67%,0,0%,0,0%,02-Mar,0,0,0,2,0,0,0.35,12.2,0,0.2,5.8 (81%),2.8 (82%),3.0 (75%),0.4 (100%),0.0 (0%),0.0 (0%),0,0.2,0.2,0,1.8,0,0,0,0,0,0.4 (67%),1.4 (44%),1.0 (63%),0.4 (25%),3.2,0.2,0.4,0.6,0,1,0,0,6.86
29,29,Dominik Livakovic,5,5,87,436,0,1.4,0,2.8 (67%),0.2 (100%),7,6,1,14,0,11,3,0,3,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,32.4,0,0.2,18.6 (76%),16.2 (90%),2.4 (36%),6.8 (54%),2.0 (83%),0.0 (0%),1,0,0,0,6.8,0,0.4,0,0,0,0.0 (0%),0.2 (50%),0.0 (0%),0.2 (100%),6.2,0.2,0,0,4,0,0,1,6.96
30,30,İrfan Can Eğribayat,9,9,90,810,0,0.8,0,2.0 (72%),0.4 (100%),7,6,1,18,0.15,5,13,0,3,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.01,35.2,0,0,18.9 (72%),15.1 (86%),3.8 (43%),7.4 (50%),3.0 (77%),0.0 (0%),4,0.1,0,0,9.1,0,0.7,0,0,0,0.0 (0%),0.4 (100%),0.2 (100%),0.2 (100%),7.7,0,0.2,0,5.8,0,0,0,7.06
31,31,Ertuğrul Çetin,1,0,58,58,0,1,0,0.0 (0%),0.0 (0%),1,1,0,0,-0.74,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,13,0,0,5.0 (50%),3.0 (75%),2.0 (33%),2.0 (29%),2.0 (67%),0.0 (0%),0,0,0,0,4,0,0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),5,0,0,0,3,0,0,0,6.83
32,32,Çağlar Söyüncü,1,1,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,46,0,0,37.0 (88%),33.0 (97%),4.0 (50%),1.0 (33%),0.0 (0%),0.0 (0%),1,0,0,0,2,0,2,0,0,0,0.0 (0%),1.0 (50%),0.0 (0%),1.0 (100%),5,1,0,0,0,1,0,0,6.91
33,33,Alexander Djiku,19,16,72,1361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.4,0.1,0,0%,0,0%,0,0%,0/8,0,0,0,0,0,0,0.27,58.9,0,0.1,42.8 (87%),29.0 (93%),13.8 (78%),2.9 (58%),1.8 (60%),0.0 (0%),3,1.9,1.1,0.2,3.6,0.3,3.3,1,0,1,0.2 (100%),5.0 (58%),2.0 (53%),3.0 (62%),6.5,1.4,0.8,0,0,5,0,0,7.01
34,34,Rodrigo Becão,11,6,55,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,605min,0.1,0.5,0.1,0,17%,0,0%,0,0%,01-May,0/1,1,0,0,0,0,0.05,38.2,0,0,27.0 (87%),19.0 (92%),8.0 (75%),0.8 (35%),1.1 (60%),0.0 (0%),2,0.4,0.6,0,2.7,0.1,2.1,1,0,0,0.1 (50%),3.8 (63%),1.0 (44%),2.8 (74%),5.2,1.1,0.4,0,0,1,0,0,6.83
35,35,Samet Akaydin,2,0,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,11,0,0,6.0 (75%),4.0 (80%),2.0 (67%),0.0 (0%),0.0 (0%),0.0 (0%),0,0,1,0,2,0,0.5,0,0,0,0.5 (100%),2.0 (80%),1.5 (100%),0.5 (50%),2.5,0,0,0,0,0,0,0,6.8
36,36,Serdar Aziz,12,11,73,871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.8,0.2,2,0%,0,0%,0,0%,0/9,0/1,0,0,0,0,2,0.59,56.3,1,0.3,42.7 (89%),27.9 (93%),14.8 (83%),2.4 (57%),1.7 (57%),0.0 (0%),1,1.1,1.1,0.1,4.6,0.3,1.3,0,0,0,0.0 (0%),4.3 (62%),1.7 (61%),2.7 (63%),5.8,0.8,0.7,0,0,2,0,0,6.97
37,37,Jayden Oosterwolde,8,8,88,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0.3,1,0%,0,0%,0,0%,0/2,0,0,0,0,0,0,0.59,52.5,2,0.6,29.4 (82%),18.1 (90%),12.0 (72%),1.9 (42%),1.3 (43%),0.8 (60%),5,1,1.1,0.4,5.1,0.4,2.8,0,0,0,0.6 (71%),4.4 (51%),2.5 (49%),1.9 (54%),10.3,1.9,0.9,0,0,3,0,0,6.92
38,38,Filip Kostić,20,16,71,1427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1427min,0.1,0.7,0.3,4,7%,0,0%,0,0%,01-Nov,0/3,0,1,0,1,4,2.78,51.8,6,1.4,21.5 (78%),8.9 (84%),14.2 (59%),0.9 (35%),1.0 (50%),1.6 (22%),0,0.7,1.4,0.3,3.4,0.5,1.1,2,0,0,0.5 (50%),3.1 (52%),2.3 (47%),0.8 (70%),16.3,1,0.5,0.2,0,3,0,0,7.08
39,39,Levent Mercan,8,5,54,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.1,0,0,0%,0,0%,0,0%,0/1,0,0,0,0,0,0,0.58,48.9,0,0.3,30.5 (82%),18.0 (91%),12.8 (68%),1.3 (28%),1.4 (48%),0.3 (22%),2,1,0.9,0.1,4,0,2.4,0,0,0,0.5 (100%),2.4 (58%),2.1 (74%),0.3 (20%),9,0.6,0.8,0,0,0,0,0,6.89
40,40,Bright Osayi-Samuel,17,10,53,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.4,0.2,1,0%,0,0%,0,0%,0/6,0/1,0,0,0,1,0,0.56,30.9,1,0.5,17.6 (89%),7.2 (92%),10.6 (84%),0.5 (56%),0.2 (40%),0.2 (36%),2,0.4,1.1,0.3,2.7,0.2,0.6,0,0,0,0.2 (31%),3.0 (55%),2.5 (58%),0.5 (42%),4.8,0.4,1.2,0.1,0,1,0,0,6.86
41,41,Mert Müldür,5,4,72,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.4,0,0%,0,0%,0,0%,0/1,0/2,0,0,0,0,0,0,54.8,0,0.2,28.8 (80%),11.0 (80%),18.4 (75%),1.4 (47%),1.2 (55%),0.6 (25%),2,1,0.4,0,4,1,2,0,0,0,0.6 (75%),2.6 (52%),1.6 (42%),1.0 (83%),12,1,0.6,0,0,1,0,0,6.92
42,42,Sofyan Amrabat,21,14,68,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,710min,0.1,0.6,0.1,0,17%,0,0%,0,0%,01-Jan,01-Nov,0,0,2,0,2,1.69,57.4,2,0.4,43.5 (88%),24.9 (94%),18.9 (80%),3.9 (62%),3.1 (59%),0.2 (50%),0,0.7,0.8,0.3,4.9,0.6,1,3,0,0,0.4 (75%),2.1 (42%),1.7 (43%),0.4 (38%),7.5,1,0.5,0,0,6,0,0,6.86
43,43,İsmail Yüksek,4,2,59,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0,0,0%,0,0%,0,0%,0/1,0,0,0,0,0,0,0,45,0,0.3,32.3 (85%),14.8 (94%),17.5 (79%),2.5 (77%),1.8 (54%),0.0 (0%),0,0.5,1.5,0,4.3,0,0.5,0,0,0,0.0 (0%),2.8 (58%),2.0 (62%),0.8 (50%),7.5,1,0.5,0.3,0,0,0,0,6.96
44,44,Bartuğ Elmaz,7,7,86,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604min,0.1,0.7,0.1,0,20%,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,2.1,42.7 (85%),0,0,4.6 (64%),0,0.4 (38%),0,0,0,0,7.7,2.4,1.3,6,0,0,0.0 (0%),2.7 (25%),0,0.3 (20%),0,1.4,0.3,0,0,2,1,1,6.9
45,45,Fred,23,21,82,1879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,470min,0.2,1.3,0.5,2,14%,0,0%,0/1,0%,Mar-13,Jan-16,0,3,1,1,4,2.87,67.6,5,1,43.9 (84%),20.5 (93%),23.6 (76%),2.8 (57%),2.5 (50%),0.2 (29%),0,1,2.1,0.7,5.2,0.8,1,0,0,0,0.4 (42%),5.0 (54%),4.6 (58%),0.4 (31%),12.2,1.3,2.1,0,0,6,0,0,7.23
46,46,Sebastian Szymański,25,19,70,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,875min,0.1,1.3,0.3,8,6%,0,0%,0/1,0%,Feb-16,0/17,0,2,0,1,5,5.04,33.5,9,1.6,16.1 (78%),5.6 (86%),11.7 (69%),1.1 (49%),1.5 (51%),1.2 (42%),0,0.3,1.6,0.6,3.1,0.9,0.6,0,0,0,0.2 (50%),3.4 (52%),3.1 (54%),0.4 (38%),8.4,1,1.2,0.2,0,4,0,0,7.04
47,47,Mert Hakan Yandaş,12,3,23,276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.3,1,0%,0,0%,0/1,0%,0/4,0/3,0,0,0,0,2,2.04,18.3,4,0.8,10.1 (90%),2.8 (97%),8.3 (76%),0.4 (50%),0.3 (57%),1.0 (40%),0,0.4,0.5,0.4,1.8,0.4,0.2,0,0,0,0.5 (60%),1.8 (51%),1.3 (52%),0.4 (50%),3.8,0.2,0.3,0.1,0,3,0,0,6.9
48,48,Allan Saint-Maximin,16,11,60,964,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,321min,0.2,2.1,0.9,0,9%,0,0%,0,0%,Feb-16,Jan-18,0,1,2,1,2,2.63,33.9,7,1.4,12.7 (75%),3.3 (83%),10.1 (61%),0.6 (56%),0.6 (53%),0.6 (19%),0,0.1,1.1,0.6,2.8,0.3,0.4,0,0,0,2.5 (61%),4.8 (58%),4.5 (58%),0.3 (63%),11.7,0.6,0.9,0.3,0,2,0,0,7.15
49,49,Oğuz Aydın,15,13,71,1070,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,214min,0.3,1.3,0.6,3,25%,0,0%,0,0%,04-Dec,01-Aug,0,2,3,0,2,2.43,49.9,6,1.2,23.1 (77%),8.7 (84%),15.4 (65%),0.6 (23%),1.0 (43%),1.0 (25%),0,0.8,1.5,0.7,4.5,0.7,1.3,1,0,0,0.7 (58%),3.5 (53%),2.8 (53%),0.7 (52%),12.7,0.7,0.6,0.1,0,1,0,0,7.4
50,50,İrfan Can Kahveci,4,2,47,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,94min,0.5,1.3,1.3,1,40%,0,0%,0,0%,01-Mar,01-Feb,0,2,0,0,0,0,34,0,1,23.0 (86%),6.8 (87%),16.8 (82%),0.5 (50%),1.3 (71%),0.5 (33%),0,0,0.8,0,2.5,0.5,0,0,0,0,0.0 (0%),1.0 (29%),0.8 (25%),0.3 (50%),6.8,0.5,0,0.5,0,1,0,0,6.94
51,51,Cengiz Ünder,1,1,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,2,0,0,0%,0,0%,0,0%,0/1,0/1,0,0,0,0,0,0.07,45,0,2,21.0 (78%),4.0 (67%),18.0 (69%),3.0 (75%),3.0 (100%),1.0 (20%),0,0,0,0,0,0,0,0,0,0,3.0 (43%),3.0 (38%),3.0 (38%),0.0 (0%),17,0,0,0,0,0,0,0,6.81
52,52,Dusan Tadic,26,22,74,1930,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,214min,0.3,1.3,0.7,6,26%,0,0,0/4,0%,Sep-27,0/8,0,6,3,0,10,7.45,44.8,15,2.5,21.6 (77%),5.4 (88%),17.9 (68%),0.8 (48%),1.6 (53%),1.7 (39%),0,0.4,0.8,0.7,2.4,0.2,0.3,0,0,0,0.3 (53%),2.9 (44%),2.5 (46%),0.5 (35%),13.4,0.7,1.3,0.4,0,2,0,0,7.35
53,53,Burak Kapacak,17,11,59,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.7,0.3,2,0%,0,0%,0,0%,0/6,0/6,0,0,0,0,1,1.19,32.7,0,0.5,13.9 (80%),6.7 (84%),7.4 (67%),0.7 (52%),0.4 (44%),0.1 (8%),0,0.5,0.9,0.2,3.1,0.4,0.9,0,0,0,1.2 (50%),3.5 (51%),2.8 (49%),0.8 (62%),8.4,0.6,0.7,0,0,2,0,0,6.68
54,54,Youssef En-Nesyri,25,16,59,1474,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,92min,0.6,3.4,1.4,18,19%,0,0%,0,0%,14/80,02-Jun,8,6,2,1,3,1.45,20.3,5,0.6,6.8 (72%),2.1 (80%),4.9 (67%),0.3 (62%),0.4 (69%),0.2 (40%),0,0.1,0.3,0.3,0.9,0.3,0.8,0,0,0,0.2 (26%),3.6 (42%),1.0 (29%),2.7 (49%),6.2,0.7,0.4,0.5,0,4,0,0,7.05
55,55,Edin Dzeko,26,19,67,1747,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,146min,0.5,3.1,1.4,13,15%,0,0,0,0%,Dec-69,0/11,0,1,11,0,3,3.5,34.4,8,1.5,15.0 (68%),5.3 (82%),9.9 (61%),1.2 (65%),1.1 (57%),0.2 (35%),0,0,0.4,0.5,1.8,0.2,1.4,1,0,0,0.3 (42%),4.5 (52%),2.1 (54%),2.3 (51%),10.2,0.6,1.5,0.5,0,1,0,0,7.33
56,56,Cenk Tosun,7,0,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85min,0.1,0.6,0.3,2,25%,0,0%,0,0%,01-Mar,0/1,1,0,0,0,0,0.2,4.6,1,0.9,1.6 (65%),0.3 (50%),1.3 (69%),0.0 (0%),0.0 (0%),0.0 (0%),0,0,0.1,0,0.3,0.3,0,0,0,0,0.0 (0%),0.4 (21%),0.3 (18%),0.1 (33%),1.6,0.7,0.1,0.1,0,0,0,0,6.74
