player_id,footballer_id,footballer_name,Total played,Started,Minutes per game,Total minutes played,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Goals prevented,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Penalty goals,Penalty conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Expected Assists (xA),Touches per game,Big chances created,Key passes per game,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won (final third),Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Errors leading to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Average Sofascore Rating
431,431,Cemali Sertel,23,21,77,1773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,887min,0.1,0.4,0.2,0,20%,0,0%,0,0%,02-Mar,0/7,1,0,1,0,0,0.47,48.3,0,0.3,19.7 (80%),10.7 (86%),9.5 (68%),0.8 (31%),0.2 (19%),0.5 (28%),0,1,2.7,0.1,3.9,1.4,2.5,0,0,2,1.1 (58%),5.5 (53%),4.9 (55%),0.6 (42%),11.3,1.3,1.2,0.1,0,2,0,0,6.78
432,432,Oğuzhan Matur,7,6,79,553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.4,0.3,1,0%,0,0%,0,0%,0/1,0/2,0,0,0,0,1,0,48.9,1,0.7,15.0 (70%),7.0 (82%),8.4 (57%),1.7 (33%),0.7 (28%),0.4 (23%),1,1.7,2.3,0,3,1.6,5.3,0,0,0,0.7 (50%),4.7 (56%),3.9 (57%),0.9 (50%),13.9,0.3,0.9,0,0,2,0,0,7
433,433,Kamil Ahmet Çörekçi,16,15,78,1243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.4,0,0,0%,0,0%,0,0%,0,0/6,0,0,0,0,1,0.78,56.1,2,0.5,27.4 (81%),15.0 (90%),12.7 (67%),2.0 (46%),1.6 (58%),0.3 (17%),1,0.8,2.3,0.2,4.7,1.3,3.1,2,1,1,0.6 (90%),4.2 (54%),3.6 (59%),0.6 (36%),11.2,0.5,0.8,0,0,6,0,0,6.79
434,434,Kerim Alıcı,11,6,48,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.2,0.1,1,0%,0,0%,0,0%,0/1,0/1,0,0,0,0,1,0.39,28.5,1,0.1,12.0 (73%),6.4 (81%),5.7 (59%),0.7 (32%),0.3 (18%),0.1 (8%),0,0.5,0.7,0,1.7,0.2,2.5,0,0,1,0.3 (50%),1.6 (47%),1.2 (54%),0.5 (36%),6.8,0.3,0.2,0,0,1,0,0,6.47
435,435,Chandrel Massanga,15,12,76,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1136min,0.1,1.1,0.4,1,6%,0,0%,0/1,0%,0/4,01-Dec,0,0,1,0,0,1.16,52.5,1,0.5,30.7 (77%),16.3 (88%),14.5 (67%),4.1 (55%),3.3 (54%),0.1 (33%),0,1,1.1,0.1,5.1,0.6,3.5,2,0,0,0.5 (64%),4.2 (53%),2.4 (51%),1.8 (54%),11.5,0.8,0.8,0.1,0,3,0,0,7
436,436,Lamine Diack,19,19,84,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0,1,0%,0,0%,0,0%,0/6,0/5,0,0,0,0,1,0.81,53.3,0,0.3,33.4 (83%),15.7 (89%),17.6 (78%),1.8 (60%),0.7 (41%),0.0 (0%),0,1.3,2.7,0.3,4.7,1.3,1.8,0,0,0,0.6 (60%),5.2 (48%),4.1 (51%),1.1 (40%),9.2,1.9,0.7,0,0,4,0,0,6.81
437,437,Selimcan Temel,6,1,18,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.2,0,0,0%,0,0%,0,0%,0,0/1,0,0,0,0,0,0.02,15,0,0,5.3 (64%),1.7 (67%),3.7 (63%),0.3 (22%),0.0 (0%),0.0 (0%),0,0.3,0.7,0,0.3,0.3,1.2,0,0,0,0.0 (0%),1.5 (45%),0.7 (33%),0.8 (63%),4.5,0.7,0,0,0,1,0,0,6.45
438,438,Görkem Sağlam,22,18,75,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,553min,0.1,1,0.4,0,14%,0,0%,0/2,0%,02-May,Jan-16,1,1,1,0,4,4.2,56.2,9,1.8,33.5 (82%),14.3 (91%),20.6 (67%),2.6 (50%),2.3 (55%),1.4 (26%),0,0.3,0.8,0.4,3.9,0.8,0.9,0,0,0,0.3 (47%),2.5 (35%),1.7 (31%),0.8 (50%),14.8,1.8,0.6,0,0,7,0,0,7.01
439,439,Abdulkadir Parmak,18,13,64,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,0,0%,0,0%,0,0%,0/5,0/5,0,0,0,0,1,0.48,36.4,2,0.3,24.3 (89%),13.0 (92%),11.3 (83%),1.1 (63%),1.1 (79%),0.1 (14%),0,0.8,0.9,0.1,2.2,0.5,1.1,0,0,0,0.6 (56%),3.5 (56%),2.5 (58%),1.0 (50%),5.3,0.3,1,0.1,0,3,0,0,6.73
440,440,Ali Yıldız,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
