team_id,league_name,league_id,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value
20,PKO BP Ekstraklasa,pl1,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,33,25.1,15,€800k,€26.40m
21,PKO BP Ekstraklasa,pl1,Lech Poznan,/lech-posen/startseite/verein/238/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/238.png?lm=1667394613,26,25.8,15,€988k,€25.70m
22,PKO BP Ekstraklasa,pl1,Raków Częstochowa,/rakow-czestochowa/startseite/verein/9644/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/9644.png?lm=1706715423,31,25.3,19,€821k,€25.45m
23,PKO BP Ekstraklasa,pl1,Jagiellonia Bialystok,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2300.png?lm=1723051894,28,25.3,15,€570k,€15.95m
24,PKO BP Ekstraklasa,pl1,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/759.png?lm=1404463384,34,23.5,13,€454k,€15.45m
25,PKO BP Ekstraklasa,pl1,Cracovia,/cracovia/startseite/verein/5689/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/5689.png?lm=1722343628,29,25.2,13,€522k,€15.15m
26,PKO BP Ekstraklasa,pl1,Zaglebie Lubin,/zaglebie-lubin/startseite/verein/168/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/168.png?lm=1429042281,31,24.9,3,€456k,€14.15m
27,PKO BP Ekstraklasa,pl1,Pogon Szczecin,/pogon-stettin/startseite/verein/324/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/324.png?lm=1573830930,29,25.9,13,€435k,€12.63m
28,PKO BP Ekstraklasa,pl1,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/4000.png?lm=1549363805,27,22.6,16,€436k,€11.78m
29,PKO BP Ekstraklasa,pl1,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/428.png?lm=1444671509,26,25.2,10,€433k,€11.25m
30,PKO BP Ekstraklasa,pl1,Piast Gliwice,/piast-gliwice/startseite/verein/6112/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6112.png?lm=1706715503,28,26.4,8,€376k,€10.53m
31,PKO BP Ekstraklasa,pl1,Widzew Lodz,/widzew-lodz/startseite/verein/88/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/88.png?lm=1706715679,29,25.2,14,€353k,€10.23m
32,PKO BP Ekstraklasa,pl1,Stal Mielec,/stal-mielec/startseite/verein/22431/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/22431.png?lm=1706715637,28,26.0,10,€343k,€9.60m
33,PKO BP Ekstraklasa,pl1,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6110.png?lm=1444671585,30,25.5,11,€301k,€9.03m
34,PKO BP Ekstraklasa,pl1,Motor Lublin,/motor-lublin/startseite/verein/3527/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3527.png?lm=1725368107,30,25.8,9,€284k,€8.53m
35,PKO BP Ekstraklasa,pl1,Radomiak Radom,/radomiak-radom/startseite/verein/7154/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/7154.png?lm=1706715593,29,26.5,17,€284k,€8.23m
36,PKO BP Ekstraklasa,pl1,GKS Katowice,/gks-katowice/startseite/verein/6456/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6456.png?lm=1722343694,29,27.5,3,€279k,€8.10m
37,PKO BP Ekstraklasa,pl1,Puszcza Niepolomice,/puszcza-niepolomice/startseite/verein/28893/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/28893.png?lm=1706716644,29,25.9,8,€264k,€7.65m
38,1.Lig,tr2,Ankaragücü,/mke-ankaragucu/startseite/verein/868/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/868.png?lm=1582635029,28,27.5,11,471 bin €,13.20 mil. €
39,1.Lig,tr2,Fatih Karagümrük,/fatih-karagumruk/startseite/verein/6646/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6646.png?lm=1441625196,29,24.3,10,380 bin €,11.03 mil. €
40,1.Lig,tr2,İstanbulspor,/istanbulspor/startseite/verein/924/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/924.png?lm=1442723454,29,24.9,10,352 bin €,10.20 mil. €
41,1.Lig,tr2,Amed SK,/amed-sk/startseite/verein/12382/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/12382.png?lm=1442152631,26,28.6,7,390 bin €,10.15 mil. €
42,1.Lig,tr2,Kocaelispor,/kocaelispor/startseite/verein/120/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/120.png?lm=1441240820,24,29.3,7,409 bin €,9.83 mil. €
43,1.Lig,tr2,Bandırmaspor,/bandirmaspor/startseite/verein/20760/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/20760.png?lm=1441208133,26,26.6,9,318 bin €,8.28 mil. €
44,1.Lig,tr2,Boluspor,/boluspor/startseite/verein/3207/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3207.png?lm=1630348479,30,26.5,10,260 bin €,7.80 mil. €
45,1.Lig,tr2,Ümraniyespor,/umraniyespor/startseite/verein/24245/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/24245.png?lm=1441727881,29,25.5,9,249 bin €,7.23 mil. €
46,1.Lig,tr2,Erzurumspor FK,/buyuksehir-belediye-erzurumspor/startseite/verein/39722/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/39722.png?lm=1661508049,33,26.9,8,214 bin €,7.08 mil. €
47,1.Lig,tr2,Gençlerbirliği SK,/genclerbirligi-ankara/startseite/verein/820/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/820.png?lm=1721314834,29,27.6,10,240 bin €,6.95 mil. €
48,1.Lig,tr2,Ankara Keçiörengücü,/ankara-keciorengucu/startseite/verein/12388/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/12388.png?lm=1598890097,26,26.6,8,255 bin €,6.63 mil. €
49,1.Lig,tr2,Esenler Erokspor,/esenler-erokspor/startseite/verein/45269/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/45269.png?lm=1714859697,25,28.6,9,261 bin €,6.53 mil. €
50,1.Lig,tr2,Iğdır FK,/76-igdir-belediye-spor/startseite/verein/74664/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/74664.png?lm=1632618394,30,27.8,9,210 bin €,6.30 mil. €
51,1.Lig,tr2,Çorum FK,/corum-fk/startseite/verein/37951/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/37951.png?lm=1579901139,28,28.1,8,218 bin €,6.10 mil. €
52,1.Lig,tr2,Pendikspor,/pendikspor/startseite/verein/3209/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3209.png?lm=1420048508,28,29.4,7,205 bin €,5.74 mil. €
53,1.Lig,tr2,Manisa FK,/manisa-fk/startseite/verein/48913/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/48913.png?lm=1666348870,30,24.4,8,181 bin €,5.44 mil. €
54,1.Lig,tr2,Adanaspor,/adanaspor/startseite/verein/6/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6.png?lm=1442130460,26,24.9,8,209 bin €,5.43 mil. €
55,1.Lig,tr2,Sakaryaspor,/sakaryaspor/startseite/verein/2463/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2463.png?lm=1604757190,32,26.9,9,143 bin €,4.58 mil. €
56,1.Lig,tr2,Şanlıurfaspor,/sanliurfaspor/startseite/verein/6630/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6630.png?lm=1415443693,28,25.6,10,142 bin €,3.98 mil. €
57,1.Lig,tr2,Yeni Malatyaspor,/yeni-malatyaspor/startseite/verein/19789/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/19789.png?lm=1441755473,27,21.8,0,35 bin €,950 bin €
