League,Week,Date,Home Team,Home Goals,Away Team,Away Goals,Season
Süper Lig,Round 1,05/08/22,İstanbulspor,0,Trabzonspor,2,22/23
Süper Lig,Round 1,06/08/22,Sivasspor,1,Gaziantep,1,22/23
Süper Lig,Round 1,06/08/22,Beşiktaş,1,Kayserispor,0,22/23
Süper Lig,Round 1,07/08/22,Karagümrük,2,Alanyaspor,4,22/23
Süper Lig,Round 1,07/08/22,Giresunspor,2,Adana DS,3,22/23
Süper Lig,Round 1,07/08/22,Antalyaspor,0,Galatasaray,1,22/23
Süper Lig,Round 1,08/08/22,Başakşehir,4,Kasımpaşa,0,22/23
Süper Lig,Round 1,08/08/22,Fenerbahçe,3,Ümraniyespor,3,22/23
Süper Lig,Round 1,08/08/22,Ankaragücü,0,Konyaspor,0,22/23
Süper Lig,Round 2,12/08/22,Trabzonspor,1,Hatayspor,0,22/23
Süper Lig,Round 2,13/08/22,Kayserispor,1,İstanbulspor,0,22/23
Süper Lig,Round 2,13/08/22,Adana DS,3,Sivasspor,0,22/23
Süper Lig,Round 2,13/08/22,Galatasaray,0,Giresunspor,1,22/23
Süper Lig,Round 2,14/08/22,Gaziantep,1,Ankaragücü,0,22/23
Süper Lig,Round 2,14/08/22,Ümraniyespor,0,Antalyaspor,1,22/23
Süper Lig,Round 2,14/08/22,Alanyaspor,3,Beşiktaş,3,22/23
Süper Lig,Round 2,15/08/22,Konyaspor,0,Başakşehir,0,22/23
Süper Lig,Round 2,15/08/22,Kasımpaşa,0,Fenerbahçe,6,22/23
Süper Lig,Round 3,19/08/22,Ümraniyespor,0,Galatasaray,1,22/23
Süper Lig,Round 3,20/08/22,Giresunspor,1,Kasımpaşa,0,22/23
Süper Lig,Round 3,20/08/22,Hatayspor,1,Gaziantep,2,22/23
Süper Lig,Round 3,20/08/22,Antalyaspor,5,Trabzonspor,2,22/23
Süper Lig,Round 3,21/08/22,Başakşehir,2,Kayserispor,0,22/23
Süper Lig,Round 3,21/08/22,Beşiktaş,4,Karagümrük,1,22/23
Süper Lig,Round 3,22/08/22,İstanbulspor,0,Konyaspor,4,22/23
Süper Lig,Round 3,22/08/22,Sivasspor,1,Alanyaspor,1,22/23
Süper Lig,Round 3,22/08/22,Fenerbahçe,4,Adana DS,2,22/23
Süper Lig,Round 4,26/08/22,Gaziantep,5,Antalyaspor,2,22/23
Süper Lig,Round 4,27/08/22,Karagümrük,4,Ankaragücü,1,22/23
Süper Lig,Round 4,27/08/22,Adana DS,1,Ümraniyespor,0,22/23
Süper Lig,Round 4,27/08/22,Alanyaspor,0,İstanbulspor,1,22/23
Süper Lig,Round 4,28/08/22,Kasımpaşa,1,Hatayspor,0,22/23
Süper Lig,Round 4,28/08/22,Kayserispor,3,Giresunspor,0,22/23
Süper Lig,Round 4,28/08/22,Trabzonspor,0,Galatasaray,0,22/23
Süper Lig,Round 4,29/08/22,Konyaspor,1,Fenerbahçe,0,22/23
Süper Lig,Round 4,29/08/22,Beşiktaş,3,Sivasspor,1,22/23
Süper Lig,Round 5,02/09/22,Ümraniyespor,0,Trabzonspor,1,22/23
Süper Lig,Round 5,03/09/22,Başakşehir,2,Alanyaspor,0,22/23
Süper Lig,Round 5,03/09/22,Sivasspor,0,Karagümrük,0,22/23
Süper Lig,Round 5,03/09/22,Fenerbahçe,2,Kayserispor,0,22/23
Süper Lig,Round 5,03/09/22,Giresunspor,0,Konyaspor,1,22/23
Süper Lig,Round 5,04/09/22,Hatayspor,1,Adana DS,1,22/23
Süper Lig,Round 5,04/09/22,Antalyaspor,0,Kasımpaşa,2,22/23
Süper Lig,Round 5,04/09/22,Ankaragücü,2,Beşiktaş,3,22/23
Süper Lig,Round 5,05/09/22,Galatasaray,2,Gaziantep,1,22/23
Süper Lig,Round 6,09/09/22,Alanyaspor,2,Ankaragücü,1,22/23
Süper Lig,Round 6,10/09/22,Konyaspor,1,Hatayspor,0,22/23
Süper Lig,Round 6,10/09/22,Karagümrük,1,Giresunspor,1,22/23
Süper Lig,Round 6,11/09/22,Sivasspor,1,İstanbulspor,1,22/23
Süper Lig,Round 6,11/09/22,Gaziantep,1,Ümraniyespor,1,22/23
Süper Lig,Round 6,11/09/22,Kasımpaşa,2,Galatasaray,3,22/23
Süper Lig,Round 6,11/09/22,Kayserispor,1,Antalyaspor,0,22/23
Süper Lig,Round 6,12/09/22,Beşiktaş,0,Başakşehir,1,22/23
Süper Lig,Round 6,12/09/22,Adana DS,3,Trabzonspor,2,22/23
Süper Lig,Round 7,16/09/22,Galatasaray,2,Konyaspor,1,22/23
Süper Lig,Round 7,16/09/22,Hatayspor,0,Kayserispor,4,22/23
Süper Lig,Round 7,17/09/22,Ümraniyespor,1,Kasımpaşa,2,22/23
Süper Lig,Round 7,17/09/22,Antalyasporx2,0,Adana DS,3,22/23
Süper Lig,Round 7,17/09/22,İstanbulspor,2,Beşiktaş,2,22/23
Süper Lig,Round 7,18/09/22,Başakşehir,0,Karagümrük,0,22/23
Süper Lig,Round 7,18/09/22,Trabzonspor,3,Gaziantep,2,22/23
Süper Lig,Round 7,18/09/22,Fenerbahçe,5,Alanyaspor,0,22/23
Süper Lig,Round 7,18/09/22,Ankaragücü,2,Sivasspor,1,22/23
Süper Lig,Round 8,01/10/22,Kasımpaşa,1,Gaziantep,0,22/23
Süper Lig,Round 8,01/10/22,Kayserispor,1,Trabzonspor,2,22/23
Süper Lig,Round 8,01/10/22,Ankaragücü,1,Başakşehir,2,22/23
Süper Lig,Round 8,01/10/22,Adana DS,0,Galatasaray,0,22/23
Süper Lig,Round 8,02/10/22,Alanyaspor,1,Giresunspor,1,22/23
Süper Lig,Round 8,02/10/22,Sivasspor,1,Hatayspor,2,22/23
Süper Lig,Round 8,02/10/22,Konyaspor,1,Ümraniyespor,0,22/23
Süper Lig,Round 8,02/10/22,Beşiktaş,0,Fenerbahçe,0,22/23
Süper Lig,Round 8,03/10/22,Karagümrük,1,İstanbulspor,2,22/23
Süper Lig,Round 9,07/10/22,Gaziantep,1,Adana DS,1,22/23
Süper Lig,Round 9,08/10/22,İstanbulspor,1,Ankaragücü,2,22/23
Süper Lig,Round 9,08/10/22,Antalyaspor,1,Konyaspor,1,22/23
Süper Lig,Round 9,08/10/22,Giresunspor,0,Beşiktaş,1,22/23
Süper Lig,Round 9,09/10/22,Ümraniyespor,2,Kayserispor,2,22/23
Süper Lig,Round 9,09/10/22,Hatayspor,1,Alanyaspor,0,22/23
Süper Lig,Round 9,09/10/22,Fenerbahçe,5,Karagümrük,4,22/23
Süper Lig,Round 9,10/10/22,Başakşehir,0,Sivasspor,2,22/23
Süper Lig,Round 9,10/10/22,Trabzonspor,0,Kasımpaşa,0,22/23
Süper Lig,Round 10,14/10/22,Alanyaspor,3,Antalyaspor,2,22/23
Süper Lig,Round 10,15/10/22,Karagümrük,3,Hatayspor,0,22/23
Süper Lig,Round 10,15/10/22,Kasımpaşa,1,Adana DS,4,22/23
Süper Lig,Round 10,15/10/22,Kayserispor,2,Galatasaray,1,22/23
Süper Lig,Round 10,15/10/22,Konyaspor,0,Gaziantep,1,22/23
Süper Lig,Round 10,16/10/22,Başakşehir,2,İstanbulspor,0,22/23
Süper Lig,Round 10,16/10/22,Beşiktaş,2,Trabzonspor,2,22/23
Süper Lig,Round 10,17/10/22,Ankaragücü,0,Fenerbahçe,3,22/23
Süper Lig,Round 10,17/10/22,Sivasspor,3,Giresunspor,0,22/23
Süper Lig,Round 11,21/10/22,Antalyaspor,2,İstanbulspor,1,22/23
Süper Lig,Round 11,22/10/22,Ümraniyespor,1,Karagümrük,3,22/23
Süper Lig,Round 11,22/10/22,Trabzonspor,1,Sivasspor,0,22/23
Süper Lig,Round 11,22/10/22,Fenerbahçe,1,Başakşehir,0,22/23
Süper Lig,Round 11,23/10/22,Kasımpaşa,0,Kayserispor,1,22/23
Süper Lig,Round 11,23/10/22,Adana DS,1,Konyaspor,1,22/23
Süper Lig,Round 11,23/10/22,Galatasarayx2,2,Alanyaspor,2,22/23
Süper Lig,Round 11,24/10/22,Giresunspor,1,Ankaragücü,1,22/23
Süper Lig,Round 11,24/10/22,Hatayspor,2,Beşiktaş,1,22/23
Süper Lig,Round 12,28/10/22,Karagümrük,0,Galatasaray,2,22/23
Süper Lig,Round 12,29/10/22,Konyaspor,1,Kasımpaşa,1,22/23
Süper Lig,Round 12,29/10/22,Alanyaspor,2,Gaziantep,0,22/23
Süper Lig,Round 12,30/10/22,Ankaragücü,4,Hatayspor,1,22/23
Süper Lig,Round 12,30/10/22,Beşiktaş,5,Ümraniyespor,2,22/23
Süper Lig,Round 12,30/10/22,Kayserispor,2,Adana DS,2,22/23
Süper Lig,Round 12,30/10/22,İstanbulspor,2,Fenerbahçe,5,22/23
Süper Lig,Round 12,31/10/22,Başakşehir,3,Giresunspor,1,22/23
Süper Lig,Round 12,31/10/22,Sivasspor,0,Antalyaspor,2,22/23
Süper Lig,Round 13,04/11/22,Kasımpaşa,1,Ankaragücü,1,22/23
Süper Lig,Round 13,04/11/22,Ümraniyespor,3,Alanyaspor,1,22/23
Süper Lig,Round 13,05/11/22,Giresunspor,3,İstanbulspor,2,22/23
Süper Lig,Round 13,05/11/22,Galatasaray,2,Beşiktaş,1,22/23
Süper Lig,Round 13,06/11/22,Gaziantep,1,Kayserispor,2,22/23
Süper Lig,Round 13,06/11/22,Antalyaspor,4,Karagümrük,2,22/23
Süper Lig,Round 13,06/11/22,Trabzonspor,2,Konyaspor,2,22/23
Süper Lig,Round 13,07/11/22,Fenerbahçe,1,Sivasspor,0,22/23
Süper Lig,Round 13,07/11/22,Hatayspor,3,Başakşehir,3,22/23
Süper Lig,Round 14,11/11/22,Alanyaspor,0,Adana DS,0,22/23
Süper Lig,Round 14,11/11/22,Ankaragücü,1,Trabzonspor,1,22/23
Süper Lig,Round 14,12/11/22,Sivasspor,2,Ümraniyespor,2,22/23
Süper Lig,Round 14,12/11/22,Fenerbahçe,1,Giresunspor,2,22/23
Süper Lig,Round 14,12/11/22,Başakşehir,0,Galatasaray,7,22/23
Süper Lig,Round 14,13/11/22,Karagümrük,3,Gaziantep,3,22/23
Süper Lig,Round 14,13/11/22,İstanbulspor,0,Hatayspor,1,22/23
Süper Lig,Round 14,13/11/22,Kayserispor,1,Konyaspor,2,22/23
Süper Lig,Round 14,13/11/22,Beşiktaş,,Antalyaspor,,22/23
Süper Lig,Round 14,26/02/23,Beşiktaş,0,Antalyaspor,0,22/23
Süper Lig,Round 15,23/12/22,Antalyaspor,0,Ankaragücü,2,22/23
Süper Lig,Round 15,23/12/22,Ümraniyespor,1,Başakşehir,3,22/23
Süper Lig,Round 15,24/12/22,Hatayspor,1,Giresunspor,1,22/23
Süper Lig,Round 15,24/12/22,Kasımpaşa,1,Sivasspor,2,22/23
Süper Lig,Round 15,24/12/22,Trabzonspor,2,Fenerbahçe,0,22/23
Süper Lig,Round 15,25/12/22,Adana DS,2,Karagümrük,1,22/23
Süper Lig,Round 15,25/12/22,Gaziantep,1,Beşiktaş,1,22/23
Süper Lig,Round 15,25/12/22,Konyaspor,2,Alanyaspor,2,22/23
Süper Lig,Round 15,25/12/22,Galatasaray,2,İstanbulspor,1,22/23
Süper Lig,Round 16,27/12/22,Başakşehir,2,Antalyaspor,0,22/23
Süper Lig,Round 16,27/12/22,Ankaragücü,1,Ümraniyespor,2,22/23
Süper Lig,Round 16,27/12/22,Fenerbahçe,4,Hatayspor,0,22/23
Süper Lig,Round 16,28/12/22,Alanyaspor,3,Kayserispor,1,22/23
Süper Lig,Round 16,28/12/22,İstanbulspor,2,Kasımpaşa,1,22/23
Süper Lig,Round 16,28/12/22,Karagümrük,4,Trabzonspor,1,22/23
Süper Lig,Round 16,29/12/22,Giresunspor,2,Gaziantep,1,22/23
Süper Lig,Round 16,29/12/22,Sivasspor,1,Galatasaray,2,22/23
Süper Lig,Round 16,29/12/22,Beşiktaş,1,Adana DS,0,22/23
Süper Lig,Round 17,03/01/23,Ümraniyespor,2,Hatayspor,2,22/23
Süper Lig,Round 17,03/01/23,Antalyaspor,1,Fenerbahçe,2,22/23
Süper Lig,Round 17,04/01/23,Kasımpaşa,4,Alanyaspor,1,22/23
Süper Lig,Round 17,04/01/23,Kayserispor,2,Karagümrük,4,22/23
Süper Lig,Round 17,04/01/23,Galatasaray,2,Ankaragücü,1,22/23
Süper Lig,Round 17,04/01/23,Konyaspor,2,Sivasspor,2,22/23
Süper Lig,Round 17,05/01/23,Gaziantep,1,Başakşehir,1,22/23
Süper Lig,Round 17,05/01/23,Adana DS,6,İstanbulspor,0,22/23
Süper Lig,Round 17,05/01/23,Trabzonspor,3,Giresunspor,0,22/23
Süper Lig,Round 18,07/01/23,Hatayspor,0,Antalyaspor,0,22/23
Süper Lig,Round 18,07/01/23,Beşiktaş,2,Kasımpaşa,1,22/23
Süper Lig,Round 18,08/01/23,Karagümrük,3,Konyaspor,3,22/23
Süper Lig,Round 18,08/01/23,Giresunspor,0,Ümraniyespor,1,22/23
Süper Lig,Round 18,08/01/23,Ankaragücü,2,Kayserispor,1,22/23
Süper Lig,Round 18,08/01/23,Fenerbahçe,0,Galatasaray,3,22/23
Süper Lig,Round 18,09/01/23,Başakşehir,2,Adana DS,1,22/23
Süper Lig,Round 18,09/01/23,Alanyaspor,5,Trabzonspor,0,22/23
Süper Lig,Round 18,09/01/23,İstanbulspor,1,Gaziantep,1,22/23
Süper Lig,Round 19,13/01/23,Kayserispor,4,Sivasspor,1,22/23
Süper Lig,Round 19,13/01/23,Galatasaray,4,Hatayspor,0,22/23
Süper Lig,Round 19,14/01/23,Antalyaspor,2,Giresunspor,2,22/23
Süper Lig,Round 19,14/01/23,Adana DS,3,Ankaragücü,1,22/23
Süper Lig,Round 19,14/01/23,Konyaspor,1,Beşiktaş,2,22/23
Süper Lig,Round 19,14/01/23,Trabzonspor,1,Başakşehir,0,22/23
Süper Lig,Round 19,15/01/23,Ümraniyespor,0,İstanbulspor,2,22/23
Süper Lig,Round 19,15/01/23,Kasımpaşa,2,Karagümrük,2,22/23
Süper Lig,Round 19,15/01/23,Gaziantep,1,Fenerbahçe,2,22/23
Süper Lig,Round 20,20/01/23,Adana DS,1,Giresunspor,1,22/23
Süper Lig,Round 20,21/01/23,Kasımpaşa,1,Başakşehir,3,22/23
Süper Lig,Round 20,21/01/23,Galatasaray,2,Antalyaspor,1,22/23
Süper Lig,Round 20,22/01/23,Gaziantep,1,Sivasspor,2,22/23
Süper Lig,Round 20,22/01/23,Alanyaspor,2,Karagümrük,2,22/23
Süper Lig,Round 20,22/01/23,Kayserispor,0,Beşiktaş,2,22/23
Süper Lig,Round 20,22/01/23,Trabzonspor,4,İstanbulspor,0,22/23
Süper Lig,Round 20,23/01/23,Konyaspor,0,Ankaragücü,1,22/23
Süper Lig,Round 20,23/01/23,Ümraniyespor,1,Fenerbahçe,2,22/23
Süper Lig,Round 21,27/01/23,Beşiktaş,3,Alanyaspor,0,22/23
Süper Lig,Round 21,28/01/23,Sivasspor,1,Adana DS,2,22/23
Süper Lig,Round 21,28/01/23,Hatayspor,2,Trabzonspor,1,22/23
Süper Lig,Round 21,28/01/23,Ankaragücü,0,Gaziantep,2,22/23
Süper Lig,Round 21,28/01/23,Antalyaspor,3,Ümraniyespor,2,22/23
Süper Lig,Round 21,28/01/23,Giresunspor,0,Galatasaray,4,22/23
Süper Lig,Round 21,29/01/23,İstanbulspor,2,Kayserispor,4,22/23
Süper Lig,Round 21,29/01/23,Başakşehir,2,Konyaspor,0,22/23
Süper Lig,Round 21,29/01/23,Fenerbahçe,5,Kasımpaşa,1,22/23
Süper Lig,Round 22,31/01/23,Alanyaspor,0,Sivasspor,3,22/23
Süper Lig,Round 22,31/01/23,Karagümrük,1,Beşiktaş,1,22/23
Süper Lig,Round 22,01/02/23,Gaziantep,4,Hatayspor,1,22/23
Süper Lig,Round 22,01/02/23,Kasımpaşa,5,Giresunspor,1,22/23
Süper Lig,Round 22,01/02/23,Galatasaray,3,Ümraniyespor,2,22/23
Süper Lig,Round 22,01/02/23,Trabzonspor,2,Antalyaspor,0,22/23
Süper Lig,Round 22,02/02/23,Kayserispor,1,Başakşehir,0,22/23
Süper Lig,Round 22,02/02/23,Konyaspor,0,İstanbulspor,1,22/23
Süper Lig,Round 22,02/02/23,Adana DS,1,Fenerbahçe,1,22/23
Süper Lig,Round 23,04/02/23,Ankaragücü,0,Karagümrük,2,22/23
Süper Lig,Round 23,04/02/23,Sivasspor,1,Beşiktaş,0,22/23
Süper Lig,Round 23,04/02/23,Antalyaspor,1,Gaziantep,0,22/23
Süper Lig,Round 23,05/02/23,İstanbulspor,2,Alanyaspor,1,22/23
Süper Lig,Round 23,05/02/23,Hatayspor,1,Kasımpaşa,0,22/23
Süper Lig,Round 23,05/02/23,Galatasaray,2,Trabzonspor,1,22/23
Süper Lig,Round 23,25/02/23,Fenerbahçe,4,Konyaspor,0,22/23
Süper Lig,Round 23,25/02/23,Giresunspor,1,Kayserispor,2,22/23
Süper Lig,Round 23,26/02/23,Ümraniyespor,1,Adana DS,1,22/23
Süper Lig,Round 24,03/03/23,Alanyaspor,1,Başakşehir,0,22/23
Süper Lig,Round 24,04/03/23,Karagümrük,4,Sivasspor,3,22/23
Süper Lig,Round 24,04/03/23,Trabzonspor,1,Ümraniyespor,2,22/23
Süper Lig,Round 24,04/03/23,Kayserispor,1,Fenerbahçe,2,22/23
Süper Lig,Round 24,05/03/23,Konyaspor,0,Giresunspor,0,22/23
Süper Lig,Round 24,05/03/23,Beşiktaş,2,Ankaragücü,1,22/23
Süper Lig,Round 24,06/03/23,Kasımpaşa,3,Antalyaspor,1,22/23
Süper Lig,Round 25,10/03/23,Giresunspor,2,Karagümrük,2,22/23
Süper Lig,Round 25,11/03/23,Antalyaspor,4,Kayserispor,0,22/23
Süper Lig,Round 25,11/03/23,Galatasaray,1,Kasımpaşa,0,22/23
Süper Lig,Round 25,12/03/23,Ankaragücü,2,Alanyaspor,0,22/23
Süper Lig,Round 25,12/03/23,Trabzonspor,4,Adana DS,1,22/23
Süper Lig,Round 25,12/03/23,Başakşehir,0,Beşiktaş,2,22/23
Süper Lig,Round 25,13/03/23,İstanbulspor,3,Sivasspor,0,22/23
Süper Lig,Round 26,17/03/23,Konyaspor,2,Galatasaray,1,22/23
Süper Lig,Round 26,18/03/23,Kasımpaşa,1,Ümraniyespor,1,22/23
Süper Lig,Round 26,18/03/23,Adana DS,2,Antalyaspor,0,22/23
Süper Lig,Round 26,18/03/23,Beşiktaş,3,İstanbulspor,1,22/23
Süper Lig,Round 26,19/03/23,Karagümrük,2,Başakşehir,2,22/23
Süper Lig,Round 26,19/03/23,Sivasspor,2,Ankaragücü,0,22/23
Süper Lig,Round 26,19/03/23,Alanyaspor,1,Fenerbahçe,3,22/23
Süper Lig,Round 27,01/04/23,Başakşehir,1,Ankaragücü,0,22/23
Süper Lig,Round 27,01/04/23,Trabzonspor,3,Kayserispor,4,22/23
Süper Lig,Round 27,01/04/23,Galatasaray,2,Adana DS,0,22/23
Süper Lig,Round 27,02/04/23,Ümraniyespor,2,Konyaspor,2,22/23
Süper Lig,Round 27,02/04/23,Giresunspor,2,Alanyaspor,2,22/23
Süper Lig,Round 27,02/04/23,Fenerbahçe,2,Beşiktaş,4,22/23
Süper Lig,Round 27,03/04/23,İstanbulspor,0,Karagümrük,1,22/23
Süper Lig,Round 28,07/04/23,Konyaspor,1,Antalyaspor,1,22/23
Süper Lig,Round 28,08/04/23,Ankaragücü,3,İstanbulspor,2,22/23
Süper Lig,Round 28,08/04/23,Kasımpaşa,2,Trabzonspor,0,22/23
Süper Lig,Round 28,09/04/23,Sivasspor,1,Başakşehir,1,22/23
Süper Lig,Round 28,09/04/23,Beşiktaş,3,Giresunspor,1,22/23
Süper Lig,Round 28,10/04/23,Kayserispor,3,Ümraniyespor,1,22/23
Süper Lig,Round 28,10/04/23,Karagümrük,1,Fenerbahçe,2,22/23
Süper Lig,Round 29,14/04/23,Antalyaspor,3,Alanyaspor,1,22/23
Süper Lig,Round 29,14/04/23,Galatasaray,6,Kayserispor,0,22/23
Süper Lig,Round 29,15/04/23,Adana DS,5,Kasımpaşa,0,22/23
Süper Lig,Round 29,15/04/23,İstanbulspor,1,Başakşehir,0,22/23
Süper Lig,Round 29,15/04/23,Fenerbahçe,2,Ankaragücü,1,22/23
Süper Lig,Round 29,16/04/23,Giresunspor,1,Sivasspor,0,22/23
Süper Lig,Round 29,16/04/23,Trabzonspor,0,Beşiktaş,0,22/23
Süper Lig,Round 30,18/04/23,Alanyaspor,1,Galatasaray,4,22/23
Süper Lig,Round 30,18/04/23,Karagümrük,4,Ümraniyespor,2,22/23
Süper Lig,Round 30,19/04/23,İstanbulspor,3,Antalyaspor,3,22/23
Süper Lig,Round 30,19/04/23,Kayserispor,0,Kasımpaşa,0,22/23
Süper Lig,Round 30,19/04/23,Başakşehirx2,1,Fenerbahçe,2,22/23
Süper Lig,Round 30,19/04/23,Konyaspor,1,Adana DS,2,22/23
Süper Lig,Round 30,20/04/23,Ankaragücü,3,Giresunspor,1,22/23
Süper Lig,Round 30,20/04/23,Sivasspor,4,Trabzonspor,1,22/23
Süper Lig,Round 31,22/04/23,Ümraniyespor,0,Beşiktaş,2,22/23
Süper Lig,Round 31,23/04/23,Kasımpaşa,1,Konyaspor,2,22/23
Süper Lig,Round 31,23/04/23,Adana DS,5,Kayserispor,3,22/23
Süper Lig,Round 31,23/04/23,Galatasaray,3,Karagümrük,3,22/23
Süper Lig,Round 31,24/04/23,Giresunspor,2,Başakşehir,4,22/23
Süper Lig,Round 31,24/04/23,Antalyaspor,1,Sivasspor,2,22/23
Süper Lig,Round 31,24/04/23,Fenerbahçe,3,İstanbulspor,3,22/23
Süper Lig,Round 32,28/04/23,Alanyaspor,1,Ümraniyespor,0,22/23
Süper Lig,Round 32,29/04/23,Karagümrük,0,Antalyaspor,1,22/23
Süper Lig,Round 32,29/04/23,Konyaspor,2,Trabzonspor,1,22/23
Süper Lig,Round 32,29/04/23,Ankaragücü,0,Kasımpaşa,0,22/23
Süper Lig,Round 32,29/04/23,Sivasspor,1,Fenerbahçe,3,22/23
Süper Lig,Round 32,30/04/23,Beşiktaş,3,Galatasaray,1,22/23
Süper Lig,Round 32,01/05/23,İstanbulspor,1,Giresunspor,0,22/23
Süper Lig,Round 33,06/05/23,Antalyaspor,1,Beşiktaş,3,22/23
Süper Lig,Round 33,06/05/23,Adana DS,4,Alanyaspor,2,22/23
Süper Lig,Round 33,07/05/23,Ümraniyespor,4,Sivasspor,1,22/23
Süper Lig,Round 33,07/05/23,Konyaspor,2,Kayserispor,2,22/23
Süper Lig,Round 33,07/05/23,Giresunspor,1,Fenerbahçe,1,22/23
Süper Lig,Round 33,08/05/23,Galatasaray,1,Başakşehir,0,22/23
Süper Lig,Round 33,08/05/23,Trabzonspor,2,Ankaragücü,0,22/23
Süper Lig,Round 34,16/05/23,Sivasspor,1,Kasımpaşa,2,22/23
Süper Lig,Round 34,16/05/23,Alanyaspor,0,Konyaspor,3,22/23
Süper Lig,Round 34,16/05/23,İstanbulspor,0,Galatasaray,2,22/23
Süper Lig,Round 34,17/05/23,Başakşehir,1,Ümraniyespor,1,22/23
Süper Lig,Round 34,17/05/23,Karagümrük,2,Adana DS,3,22/23
Süper Lig,Round 34,17/05/23,Ankaragücü,1,Antalyaspor,1,22/23
Süper Lig,Round 34,18/05/23,Fenerbahçe,3,Trabzonspor,1,22/23
Süper Lig,Round 35,20/05/23,Kasımpaşa,1,İstanbulspor,0,22/23
Süper Lig,Round 35,20/05/23,Galatasaray,2,Sivasspor,0,22/23
Süper Lig,Round 35,20/05/23,Kayserispor,0,Alanyaspor,4,22/23
Süper Lig,Round 35,21/05/23,Ümraniyespor,1,Ankaragücü,2,22/23
Süper Lig,Round 35,21/05/23,Adana DS,1,Beşiktaş,4,22/23
Süper Lig,Round 35,21/05/23,Antalyaspor,0,Başakşehir,0,22/23
Süper Lig,Round 35,22/05/23,Trabzonspor,4,Karagümrük,1,22/23
Süper Lig,Round 36,30/05/23,Alanyaspor,1,Kasımpaşa,3,22/23
Süper Lig,Round 36,30/05/23,Karagümrük,2,Kayserispor,0,22/23
Süper Lig,Round 36,30/05/23,Fenerbahçe,2,Antalyaspor,0,22/23
Süper Lig,Round 36,30/05/23,Giresunspor,2,Trabzonspor,4,22/23
Süper Lig,Round 36,30/05/23,İstanbulspor,0,Adana DS,2,22/23
Süper Lig,Round 36,30/05/23,Ankaragücü,1,Galatasaray,4,22/23
Süper Lig,Round 36,30/05/23,Sivasspor,1,Konyaspor,0,22/23
Süper Lig,Round 37,03/06/23,Konyaspor,1,Karagümrük,1,22/23
Süper Lig,Round 37,03/06/23,Adana DS,2,Başakşehir,3,22/23
Süper Lig,Round 37,03/06/23,Kasımpaşa,2,Beşiktaş,5,22/23
Süper Lig,Round 37,03/06/23,Kayserispor,0,Ankaragücü,1,22/23
Süper Lig,Round 37,03/06/23,Trabzonspor,5,Alanyaspor,1,22/23
Süper Lig,Round 37,03/06/23,Ümraniyespor,0,Giresunspor,1,22/23
Süper Lig,Round 37,04/06/23,Galatasaray,3,Fenerbahçe,0,22/23
Süper Lig,Round 38,06/06/23,Karagümrük,3,Kasımpaşa,0,22/23
Süper Lig,Round 38,06/06/23,Sivasspor,1,Kayserispor,1,22/23
Süper Lig,Round 38,06/06/23,Başakşehir,3,Trabzonspor,1,22/23
Süper Lig,Round 38,07/06/23,Beşiktaş,3,Konyaspor,3,22/23
Süper Lig,Round 38,07/06/23,Giresunspor,2,Antalyaspor,0,22/23
Süper Lig,Round 38,07/06/23,İstanbulspor,4,Ümraniyespor,0,22/23
Süper Lig,Round 38,07/06/23,Ankaragücü,1,Adana DS,2,22/23
Süper Lig,Round 1,11/08/23,Trabzonspor,1,Antalyaspor,0,23/24
Süper Lig,Round 1,12/08/23,Kasımpaşa,3,Ankaragücü,2,23/24
Süper Lig,Round 1,12/08/23,Konyaspor,1,İstanbulsporx2,1,23/24
Süper Lig,Round 1,12/08/23,Kayserispor,0,Galatasaray,0,23/24
Süper Lig,Round 1,12/08/23,Pendikspor,1,Hatayspor,5,23/24
Süper Lig,Round 1,13/08/23,Sivasspor,1,Samsunspor,1,23/24
Süper Lig,Round 1,13/08/23,Adana DS,2,Rizespor,1,23/24
Süper Lig,Round 1,13/08/23,Fenerbahçe,2,Gaziantep,1,23/24
Süper Lig,Round 1,14/08/23,Alanyaspor,2,Başakşehir,0,23/24
Süper Lig,Round 1,14/08/23,Karagümrük,0,Beşiktaş,1,23/24
Süper Lig,Round 2,18/08/23,Antalyaspor,1,Konyaspor,1,23/24
Süper Lig,Round 2,18/08/23,İstanbulspor,1,Kayserispor,1,23/24
Süper Lig,Round 2,19/08/23,Rizespor,0,Alanyaspor,0,23/24
Süper Lig,Round 2,19/08/23,Galatasaray,2,Trabzonspor,0,23/24
Süper Lig,Round 2,19/08/23,Hatayspor,0,Kasımpaşa,0,23/24
Süper Lig,Round 2,20/08/23,Başakşehir,0,Karagümrük,2,23/24
Süper Lig,Round 2,20/08/23,Beşiktaş,1,Pendikspor,1,23/24
Süper Lig,Round 2,20/08/23,Gaziantep,1,Sivasspor,3,23/24
Süper Lig,Round 2,21/08/23,Ankaragücü,1,Adana DS,1,23/24
Süper Lig,Round 2,21/08/23,Samsunspor,0,Fenerbahçe,2,23/24
Süper Lig,Round 3,25/08/23,Konyaspor,2,Gaziantep,0,23/24
Süper Lig,Round 3,26/08/23,Kasımpaşa,1,Pendikspor,1,23/24
Süper Lig,Round 3,26/08/23,Trabzonspor,2,Rizespor,3,23/24
Süper Lig,Round 3,26/08/23,İstanbulspor,,Galatasaray,,23/24
Süper Lig,Round 3,26/08/23,Sivasspor,1,Antalyaspor,1,23/24
